stock_name,industry,cap,market_cap,pe_ratio,pb_ratio,div_yield,book_value,eps,roe
Indraprastha Gas,Gas Utilities,Large Cap,30775.54,15.79,3.42,2.96,128.6587124,27.84,20.0556
Syngene International,Life Sciences,Large Cap,30713.95,61.41,7.89,0.16,96.785319,12.44,12.8068
KEI Industries,Electrical Equip.,Large Cap,29555.88,53.7,10.34,0.09,316.7432114,60.99,18.4826
Apollo Tyres,Auto Components,Large Cap,33555.56,18.69,2.59,0.85,204.3646002,28.27,12.2525
Metro Brands,Specialty Retail,Large Cap,30535.74,93.75,18.24,0.36,61.5567415,11.98,20.3133
National Aluminium Co,Metals & Mining,Large Cap,29882.0,20.11,2.22,2.77,73.297631,8.09,9.452
ZF Commercial Vehicle Control Systems India,Auto Components,Large Cap,29448.39,72.27,11.37,0.08,1366.3123945,214.9,15.1337
IPCA Laboratories,Pharmaceuticals,Large Cap,31494.84,55.82,5.12,0.32,242.3582261,22.24,8.0056
Tata Chemicals,Chemicals,Large Cap,24767.77,13.56,1.16,1.8,840.1146177,71.71,9.6248
Lloyds Metals & Energy,Metals & Mining,Large Cap,28258.83,22.88,12.96,0.0,43.1669489,24.44,51.9757
Tata Investment Corporation,Capital Markets,Large Cap,28399.39,82.38,1.2,0.86,4690.7790195,68.14,1.3739
Exide Industries,Auto Components,Large Cap,28594.0,32.79,2.28,0.59,147.3365882,10.26,6.9504
Angel One,Capital Markets,Large Cap,27499.25,26.13,10.53,1.21,311.1901746,125.36,39.0492
Godrej Industries,Industrial Conglomerates,Large Cap,27152.42,40.42,3.3,0.0,244.2630008,19.95,10.7005
Ajanta Pharma,Pharmaceuticals,Large Cap,27096.63,36.83,7.78,0.33,276.5149162,58.43,18.9605
Housing & Urban Development Corporation,Financial Services,Large Cap,39757.73,19.34,2.53,1.94,78.5384884,10.27,11.3894
Manyavar- Vedant Fashions Ltd.,Apparel & Luxury,Large Cap,23598.32,57.95,17.77,0.93,54.6839161,16.77,30.1143
Bayer Cropscience,Chemicals,Large Cap,26268.65,32.71,8.39,2.22,696.7726585,178.67,26.9656
Narayana Hrudayalaya,Health Care,Large Cap,27907.51,36.17,11.16,0.18,122.4167627,37.76,29.4779
ICICI Securities,Capital Markets,Large Cap,25422.89,17.87,7.76,2.41,101.3052418,44.02,37.8123
KPR Mill,Apparel & Luxury,Large Cap,24926.79,31.11,6.17,0.29,118.2810359,23.44,19.5102
JB Chemicals & Pharmaceuticals,Pharmaceuticals,Large Cap,25627.9,49.84,9.43,0.54,175.1016111,33.14,17.9128
Hindustan Copper,Metals & Mining,Large Cap,24987.9,82.29,11.42,0.36,22.6297586,3.14,14.6453
